time,distance,latitude,longitude,altitude,velocity_smooth,heartrate,moving,grade_smooth,activity_id,activity_name
0,0.0,46.506657,6.626205,369.6,0.0,111,False,0.0,14588709889,Morning Ride
1,0.0,46.506657,6.626205,369.6,0.0,111,False,0.0,14588709889,Morning Ride
2,0.0,46.506657,6.626205,369.6,0.0,109,False,0.0,14588709889,Morning Ride
3,0.0,46.506657,6.626205,369.6,0.0,108,False,0.0,14588709889,Morning Ride
4,0.0,46.506658,6.626206,369.6,0.0,108,False,0.0,14588709889,Morning Ride
5,0.0,46.506659,6.626206,369.6,0.0,109,False,0.0,14588709889,Morning Ride
6,0.0,46.506663,6.626211,369.6,0.0,110,False,-25.3,14588709889,Morning Ride
7,0.0,46.506679,6.62623,369.4,0.0,111,False,-21.3,14588709889,Morning Ride
8,0.0,46.506699,6.626252,369.6,0.0,111,False,-21.3,14588709889,Morning Ride
9,0.0,46.50672,6.626272,369.6,0.0,113,False,-21.3,14588709889,Morning Ride
10,0.4,46.506735,6.626294,369.6,0.08,114,True,-21.3,14588709889,Morning Ride
11,2.5,46.506746,6.626316,369.0,0.5,115,True,-19.7,14588709889,Morning Ride
12,4.4,46.506753,6.62634,368.4,0.88,115,True,-21.3,14588709889,Morning Ride
13,6.6,46.506762,6.626364,367.6,1.32,115,True,-17.6,14588709889,Morning Ride
14,9.5,46.506776,6.626396,367.2,1.9,115,True,-15.4,14588709889,Morning Ride
15,12.2,46.506783,6.62643,367.0,2.36,115,True,-10.7,14588709889,Morning Ride
16,16.1,46.506789,6.626479,366.6,2.72,116,True,-10.6,14588709889,Morning Ride
17,21.6,46.506804,6.626547,366.0,3.44,117,True,-8.8,14588709889,Morning Ride
18,26.5,46.506819,6.626606,365.4,3.98,119,True,-7.0,14588709889,Morning Ride
19,32.7,46.50683,6.626686,365.2,4.64,121,True,-3.3,14588709889,Morning Ride
20,39.0,46.50684,6.626767,365.0,5.36,122,True,2.3,14588709889,Morning Ride
21,46.0,46.506859,6.626853,365.2,5.98,125,True,6.3,14588709889,Morning Ride
22,52.2,46.506882,6.626927,366.0,6.12,127,True,10.7,14588709889,Morning Ride
