time,distance,latitude,longitude,altitude,velocity_smooth,heartrate,temp,moving,grade_smooth,activity_id,activity_name
0,4.1,46.167023,6.145464,420.8,0.0,88,16,False,2.4,14518882026,Morning Ride
1,8.3,46.166989,6.145486,420.8,0.0,88,16,True,1.3,14518882026,Morning Ride
2,12.4,46.166955,6.145508,421.0,0.0,88,16,True,0.9,14518882026,Morning Ride
3,19.6,46.166896,6.145546,421.0,5.167,88,16,True,0.8,14518882026,Morning Ride
4,26.0,46.166843,6.145578,421.0,5.475,88,16,True,0.0,14518882026,Morning Ride
5,33.1,46.166785,6.145618,421.0,5.8,88,16,True,0.7,14518882026,Morning Ride
6,40.1,46.166729,6.145659,421.0,6.36,88,16,True,0.7,14518882026,Morning Ride
7,46.5,46.166679,6.145696,421.2,6.82,88,16,True,1.5,14518882026,Morning Ride
8,52.9,46.166626,6.145733,421.2,6.66,88,16,True,1.6,14518882026,Morning Ride
9,59.0,46.166577,6.145769,421.4,6.6,88,16,True,1.6,14518882026,Morning Ride
10,65.0,46.16653,6.145804,421.4,6.38,88,16,True,1.6,14518882026,Morning Ride
11,71.4,46.166476,6.145836,421.6,6.26,88,16,True,1.5,14518882026,Morning Ride
12,78.1,46.166419,6.14587,421.6,6.32,88,16,True,1.5,14518882026,Morning Ride
13,85.0,46.166362,6.145906,421.8,6.42,88,16,True,1.5,14518882026,Morning Ride
14,91.8,46.166309,6.145941,421.8,6.56,88,16,True,1.5,14518882026,Morning Ride
15,98.3,46.166256,6.145974,422.0,6.66,88,16,True,0.8,14518882026,Morning Ride
16,104.8,46.166202,6.146008,422.0,6.68,88,16,True,1.5,14518882026,Morning Ride
17,111.3,46.166145,6.146039,422.0,6.64,88,16,True,0.8,14518882026,Morning Ride
18,118.0,46.166091,6.146074,422.2,6.6,88,16,True,0.7,14518882026,Morning Ride
19,124.9,46.166034,6.146109,422.2,6.62,88,16,True,0.7,14518882026,Morning Ride
20,131.7,46.165977,6.146143,422.2,6.68,88,16,True,0.0,14518882026,Morning Ride
21,138.4,46.165922,6.146175,422.2,6.72,88,16,True,0.0,14518882026,Morning Ride
22,145.5,46.165863,6.146211,422.2,6.84,88,16,True,0.0,14518882026,Morning Ride
23,152.1,46.165809,6.146246,422.2,6.82,88,16,True,0.7,14518882026,Morning Ride
24,159.0,46.165756,6.146288,422.2,6.82,88,16,True,0.7,14518882026,Morning Ride
25,165.8,46.165702,6.146332,422.4,6.82,88,16,True,0.8,14518882026,Morning Ride
26,172.5,46.16565,6.14638,422.4,6.82,88,16,True,1.6,14518882026,Morning Ride
27,178.6,46.165604,6.146425,422.4,6.62,88,16,True,0.8,14518882026,Morning Ride
28,184.7,46.165559,6.14647,422.6,6.52,88,16,True,0.8,14518882026,Morning Ride
29,190.6,46.16552,6.146517,422.6,6.32,88,16,True,1.7,14518882026,Morning Ride
30,196.5,46.165478,6.146567,422.6,6.14,88,16,True,0.9,14518882026,Morning Ride
31,202.1,46.16544,6.146616,422.8,5.92,88,16,True,0.9,14518882026,Morning Ride
32,208.0,46.165402,6.146667,422.8,5.88,88,16,True,0.9,14518882026,Morning Ride
33,213.7,46.16536,6.146714,422.8,5.8,88,16,True,0.0,14518882026,Morning Ride
34,219.6,46.165322,6.14676,422.8,5.8,88,16,True,0.9,14518882026,Morning Ride
35,225.4,46.16528,6.146805,422.8,5.78,88,17,True,0.8,14518882026,Morning Ride
36,231.2,46.165238,6.146852,423.0,5.82,88,17,True,0.8,14518882026,Morning Ride
37,237.4,46.165192,6.146901,423.0,5.88,88,17,True,0.8,14518882026,Morning Ride
38,243.7,46.16515,6.14695,423.0,6.0,88,17,True,0.0,14518882026,Morning Ride
39,250.2,46.1651,6.147002,423.0,6.12,88,17,True,0.0,14518882026,Morning Ride
40,256.7,46.165054,6.147052,423.0,6.26,88,17,True,0.0,14518882026,Morning Ride
41,263.3,46.165005,6.147102,423.0,6.42,88,17,True,0.0,14518882026,Morning Ride
42,269.8,46.164959,6.147152,423.0,6.48,88,17,True,0.0,14518882026,Morning Ride
43,275.9,46.164914,6.147199,423.0,6.44,88,17,True,0.0,14518882026,Morning Ride
44,282.3,46.164871,6.147251,423.0,6.42,88,17,True,0.8,14518882026,Morning Ride
45,288.7,46.164822,6.147299,423.0,6.4,88,17,True,0.8,14518882026,Morning Ride
46,294.8,46.16478,6.147349,423.2,6.3,88,17,True,0.8,14518882026,Morning Ride
47,301.1,46.164737,6.147399,423.2,6.26,88,17,True,1.6,14518882026,Morning Ride
48,307.5,46.164688,6.147449,423.2,6.32,88,17,True,0.8,14518882026,Morning Ride
49,314.0,46.164643,6.147499,423.4,6.34,88,17,True,0.8,14518882026,Morning Ride
50,320.3,46.164597,6.147548,423.4,6.32,88,17,True,0.8,14518882026,Morning Ride
51,326.6,46.164555,6.147599,423.4,6.36,88,17,True,0.8,14518882026,Morning Ride
52,332.7,46.164509,6.147648,423.4,6.32,88,17,True,0.8,14518882026,Morning Ride
53,339.2,46.164464,6.1477,423.6,6.34,88,17,True,0.8,14518882026,Morning Ride
54,345.5,46.164422,6.147752,423.6,6.3,88,17,True,1.6,14518882026,Morning Ride
55,350.8,46.164383,6.147796,423.6,6.1,88,17,True,0.8,14518882026,Morning Ride
56,357.1,46.164341,6.147852,423.8,6.1,88,17,True,1.6,14518882026,Morning Ride
57,364.3,46.164296,6.147914,423.8,6.32,88,17,True,1.6,14518882026,Morning Ride
58,370.4,46.164254,6.147968,424.0,6.24,88,17,True,0.8,14518882026,Morning Ride
59,376.6,46.164216,6.148024,424.0,6.22,88,17,True,0.8,14518882026,Morning Ride
60,382.6,46.164178,6.148079,424.0,6.36,88,17,True,0.0,14518882026,Morning Ride
61,388.7,46.164135,6.148133,424.0,6.32,88,17,True,0.8,14518882026,Morning Ride
62,395.0,46.164093,6.148188,424.0,6.14,88,17,True,0.8,14518882026,Morning Ride
63,401.1,46.164052,6.148241,424.2,6.14,88,17,True,1.6,14518882026,Morning Ride
64,407.3,46.164014,6.148299,424.2,6.14,88,17,True,1.6,14518882026,Morning Ride
65,413.5,46.163979,6.148358,424.4,6.18,88,17,True,0.8,14518882026,Morning Ride
66,420.1,46.163938,6.148423,424.4,6.28,88,17,True,1.6,14518882026,Morning Ride
67,426.3,46.163903,6.148486,424.4,6.26,88,17,True,0.8,14518882026,Morning Ride
68,432.1,46.16387,6.148544,424.6,6.2,88,17,True,1.7,14518882026,Morning Ride
69,437.1,46.163842,6.14859,424.6,5.96,88,17,True,1.7,14518882026,Morning Ride
70,444.0,46.163797,6.148654,424.8,6.1,88,17,True,0.9,14518882026,Morning Ride
71,449.4,46.163766,6.148708,424.8,5.86,88,17,True,1.7,14518882026,Morning Ride
72,454.6,46.163736,6.148763,424.8,5.66,88,17,True,0.9,14518882026,Morning Ride
73,460.4,46.163709,6.148823,425.0,5.66,88,17,True,1.8,14518882026,Morning Ride
74,466.0,46.163679,6.148882,425.0,5.78,88,17,True,1.8,14518882026,Morning Ride
75,472.0,46.163648,6.148946,425.2,5.6,88,17,True,0.9,14518882026,Morning Ride
76,477.4,46.163618,6.149002,425.2,5.6,88,17,True,1.7,14518882026,Morning Ride
77,482.9,46.163586,6.149055,425.2,5.66,88,17,True,0.8,14518882026,Morning Ride
78,489.4,46.163548,6.14912,425.4,5.8,88,17,True,0.8,14518882026,Morning Ride
79,495.9,46.16351,6.149186,425.4,5.98,88,17,True,1.5,14518882026,Morning Ride
80,502.9,46.163473,6.149258,425.4,6.18,88,17,True,0.8,14518882026,Morning Ride
81,509.0,46.163443,6.149323,425.6,6.32,88,17,True,1.5,14518882026,Morning Ride
