time,distance,latitude,longitude,altitude,velocity_smooth,heartrate,moving,grade_smooth,activity_id,activity_name
0,0.0,46.167747,6.14498,407.8,0.0,115,False,-2.1,14663970537,Afternoon Ride
1,4.8,46.167707,6.145,407.8,0.0,115,True,-2.8,14663970537,Afternoon Ride
2,9.7,46.167666,6.14502,407.6,0.0,115,True,-3.4,14663970537,Afternoon Ride
3,14.5,46.167625,6.145041,407.4,4.833,116,True,-3.7,14663970537,Afternoon Ride
4,23.2,46.167551,6.145075,407.0,5.8,116,True,-2.6,14663970537,Afternoon Ride
5,31.6,46.167479,6.145107,406.8,6.32,116,True,-1.8,14663970537,Afternoon Ride
6,39.9,46.167407,6.145145,406.8,7.02,117,True,-0.7,14663970537,Afternoon Ride
7,47.5,46.167348,6.145191,406.8,7.56,117,True,0.0,14663970537,Afternoon Ride
8,53.8,46.167302,6.145238,406.8,7.86,118,True,-0.7,14663970537,Afternoon Ride
9,60.4,46.167252,6.145283,406.8,7.44,118,True,-0.8,14663970537,Afternoon Ride
10,66.9,46.167199,6.145316,406.6,7.06,119,True,-0.8,14663970537,Afternoon Ride
11,72.8,46.167149,6.145344,406.6,6.58,120,True,-1.8,14663970537,Afternoon Ride
12,77.5,46.167107,6.14536,406.6,6.0,120,True,-1.0,14663970537,Afternoon Ride
13,82.3,46.167065,6.145367,406.4,5.7,121,True,-3.4,14663970537,Afternoon Ride
14,86.5,46.167026,6.145367,406.4,5.22,122,True,-4.7,14663970537,Afternoon Ride
15,90.4,46.166992,6.145368,406.0,4.7,122,True,-4.4,14663970537,Afternoon Ride
16,94.7,46.166953,6.145376,405.8,4.38,122,True,-4.9,14663970537,Afternoon Ride
17,100.6,46.166902,6.145394,405.6,4.62,123,True,-4.6,14663970537,Afternoon Ride
18,106.9,46.166849,6.145416,405.4,4.92,124,True,-5.1,14663970537,Afternoon Ride
19,112.1,46.166806,6.145442,405.0,5.12,124,True,-5.6,14663970537,Afternoon Ride
20,118.4,46.166753,6.145478,404.6,5.6,124,True,-5.6,14663970537,Afternoon Ride
21,125.6,46.166696,6.14552,404.2,6.18,124,True,-3.6,14663970537,Afternoon Ride
22,131.8,46.166646,6.145558,404.0,6.24,124,True,-1.4,14663970537,Afternoon Ride
23,139.7,46.166582,6.145604,404.0,6.56,124,True,1.4,14663970537,Afternoon Ride
24,147.2,46.166525,6.145651,404.2,7.02,123,True,4.0,14663970537,Afternoon Ride
25,154.9,46.166464,6.145705,404.6,7.3,121,True,5.7,14663970537,Afternoon Ride
26,162.1,46.16641,6.145754,405.2,7.3,120,True,8.6,14663970537,Afternoon Ride
27,171.2,46.16634,6.145815,405.8,7.88,120,True,10.9,14663970537,Afternoon Ride
28,177.5,46.166291,6.145858,406.8,7.56,119,True,11.3,14663970537,Afternoon Ride
29,184.2,46.166242,6.145901,407.8,7.4,119,True,13.7,14663970537,Afternoon Ride
30,192.1,46.166178,6.14595,408.6,7.44,121,True,13.4,14663970537,Afternoon Ride
31,198.9,46.166124,6.145991,409.6,7.36,122,True,12.7,14663970537,Afternoon Ride
32,205.9,46.166067,6.146026,410.6,6.94,123,True,12.9,14663970537,Afternoon Ride
33,212.6,46.16601,6.146063,411.4,7.02,125,True,11.4,14663970537,Afternoon Ride
34,220.1,46.165949,6.146103,412.2,7.18,126,True,9.5,14663970537,Afternoon Ride
35,227.0,46.165892,6.14614,412.8,6.98,127,True,9.1,14663970537,Afternoon Ride
36,235.3,46.165824,6.146187,413.4,7.28,128,True,8.7,14663970537,Afternoon Ride
37,241.2,46.165776,6.14622,414.0,7.06,129,True,7.6,14663970537,Afternoon Ride
38,247.8,46.165727,6.146259,414.6,7.04,130,True,6.8,14663970537,Afternoon Ride
39,255.9,46.16566,6.14631,415.0,7.16,130,True,5.9,14663970537,Afternoon Ride
40,261.8,46.165615,6.146349,415.2,6.96,130,True,5.1,14663970537,Afternoon Ride
41,268.5,46.165567,6.146398,415.6,6.64,131,True,6.1,14663970537,Afternoon Ride
42,275.5,46.165514,6.146452,416.0,6.86,131,True,7.1,14663970537,Afternoon Ride
43,282.0,46.165471,6.146506,416.6,6.84,132,True,7.2,14663970537,Afternoon Ride
44,290.1,46.165418,6.14658,417.2,6.84,132,True,6.5,14663970537,Afternoon Ride
45,296.2,46.165379,6.146632,417.6,6.88,132,True,5.0,14663970537,Afternoon Ride
46,303.0,46.165334,6.146692,417.8,6.9,132,True,3.0,14663970537,Afternoon Ride
47,309.8,46.165288,6.146752,418.0,6.86,132,True,0.7,14663970537,Afternoon Ride
48,316.8,46.165239,6.14681,418.0,6.96,133,True,-0.7,14663970537,Afternoon Ride
49,323.4,46.165192,6.146863,417.8,6.66,133,True,-2.2,14663970537,Afternoon Ride
50,330.0,46.165147,6.146915,417.6,6.76,133,True,-2.3,14663970537,Afternoon Ride
51,336.5,46.165098,6.146966,417.4,6.7,133,True,-1.5,14663970537,Afternoon Ride
52,343.1,46.165052,6.147017,417.4,6.66,133,True,-0.8,14663970537,Afternoon Ride
53,349.8,46.165003,6.14707,417.4,6.6,132,True,0.7,14663970537,Afternoon Ride
54,356.6,46.164957,6.147124,417.4,6.64,131,True,0.7,14663970537,Afternoon Ride
55,363.4,46.164908,6.147178,417.6,6.68,130,True,1.4,14663970537,Afternoon Ride
56,370.4,46.164858,6.147234,417.6,6.78,130,True,2.2,14663970537,Afternoon Ride
57,378.6,46.164802,6.147301,417.8,7.1,130,True,2.2,14663970537,Afternoon Ride
58,384.5,46.164758,6.147348,418.0,6.94,130,True,2.9,14663970537,Afternoon Ride
59,391.0,46.164713,6.147399,418.2,6.88,130,True,2.3,14663970537,Afternoon Ride
60,397.7,46.164664,6.147452,418.4,6.86,130,True,2.3,14663970537,Afternoon Ride
61,404.5,46.164617,6.147505,418.4,6.82,130,True,2.2,14663970537,Afternoon Ride
62,411.0,46.164569,6.147555,418.6,6.48,131,True,1.5,14663970537,Afternoon Ride
63,418.9,46.164512,6.147617,418.8,6.88,132,True,2.2,14663970537,Afternoon Ride
64,424.8,46.164471,6.147664,418.8,6.76,132,True,2.2,14663970537,Afternoon Ride
65,431.3,46.164426,6.147717,419.0,6.72,132,True,1.6,14663970537,Afternoon Ride
66,437.7,46.164381,6.14777,419.2,6.64,133,True,1.5,14663970537,Afternoon Ride
67,444.3,46.164335,6.147825,419.2,6.66,133,True,0.8,14663970537,Afternoon Ride
68,450.8,46.164293,6.147881,419.2,6.38,134,True,-0.7,14663970537,Afternoon Ride
69,457.6,46.164247,6.147944,419.2,6.56,134,True,-1.5,14663970537,Afternoon Ride
70,464.7,46.164205,6.148013,419.0,6.68,134,True,-3.7,14663970537,Afternoon Ride
71,471.4,46.164166,6.148078,418.8,6.74,134,True,-6.1,14663970537,Afternoon Ride
72,477.8,46.164128,6.148138,418.2,6.7,135,True,-8.7,14663970537,Afternoon Ride
73,483.8,46.164088,6.148191,417.6,6.6,135,True,-11.3,14663970537,Afternoon Ride
74,490.0,46.164048,6.148245,416.8,6.48,135,True,-12.3,14663970537,Afternoon Ride
75,496.1,46.164007,6.1483,416.0,6.28,135,True,-12.4,14663970537,Afternoon Ride
76,502.2,46.163968,6.148355,415.2,6.16,135,True,-11.5,14663970537,Afternoon Ride
77,508.0,46.163934,6.148412,414.6,6.04,135,True,-10.8,14663970537,Afternoon Ride
78,514.3,46.163896,6.148473,414.0,6.1,135,True,-10.2,14663970537,Afternoon Ride
79,520.2,46.163862,6.148529,413.4,6.04,134,True,-9.4,14663970537,Afternoon Ride
80,525.8,46.16383,6.148586,412.8,5.94,134,True,-8.8,14663970537,Afternoon Ride
81,531.4,46.1638,6.148645,412.4,5.84,134,True,-8.5,14663970537,Afternoon Ride
82,537.0,46.163769,6.148703,412.0,5.8,133,True,-7.8,14663970537,Afternoon Ride
83,543.7,46.163732,6.14877,411.4,5.88,133,True,-8.0,14663970537,Afternoon Ride
84,548.8,46.163704,6.148821,411.0,5.72,133,True,-7.1,14663970537,Afternoon Ride
85,554.0,46.163674,6.148876,410.6,5.64,133,True,-4.7,14663970537,Afternoon Ride
86,559.5,46.163647,6.148934,410.4,5.62,134,True,-0.9,14663970537,Afternoon Ride
87,564.9,46.16362,6.148994,410.4,5.58,134,True,3.4,14663970537,Afternoon Ride
88,571.3,46.16359,6.149064,410.8,5.52,134,True,5.8,14663970537,Afternoon Ride
89,577.2,46.16356,6.149127,411.4,5.68,134,True,7.3,14663970537,Afternoon Ride
90,583.8,46.163526,6.149198,411.8,5.96,134,True,6.9,14663970537,Afternoon Ride
91,592.3,46.163482,6.149287,412.4,6.56,134,True,6.0,14663970537,Afternoon Ride
92,600.3,46.16344,6.149371,412.8,7.08,134,True,5.8,14663970537,Afternoon Ride
93,607.4,46.163406,6.149447,413.2,7.22,134,True,5.5,14663970537,Afternoon Ride
94,614.8,46.16337,6.149528,413.6,7.52,134,True,6.5,14663970537,Afternoon Ride
95,621.6,46.163335,6.149599,414.0,7.56,134,True,7.1,14663970537,Afternoon Ride
96,628.1,46.1633,6.149669,414.6,7.16,134,True,8.4,14663970537,Afternoon Ride
97,635.5,46.163267,6.14975,415.2,7.04,134,True,9.3,14663970537,Afternoon Ride
98,643.3,46.163226,6.149833,416.0,7.18,134,True,9.2,14663970537,Afternoon Ride
99,651.6,46.163174,6.149909,416.8,7.36,133,True,9.7,14663970537,Afternoon Ride
100,658.4,46.16313,6.149974,417.4,7.36,133,True,8.0,14663970537,Afternoon Ride
101,664.4,46.163098,6.150034,418.0,7.26,133,True,7.8,14663970537,Afternoon Ride
102,670.9,46.163058,6.150098,418.2,7.08,133,True,7.1,14663970537,Afternoon Ride
103,677.4,46.163019,6.150159,418.8,6.82,133,True,7.1,14663970537,Afternoon Ride
104,683.9,46.162975,6.150216,419.2,6.46,133,True,7.9,14663970537,Afternoon Ride
105,689.9,46.162935,6.150269,419.8,6.3,133,True,7.4,14663970537,Afternoon Ride
106,696.1,46.162895,6.150323,420.2,6.34,134,True,7.4,14663970537,Afternoon Ride
107,701.8,46.162858,6.150374,420.6,6.18,134,True,6.6,14663970537,Afternoon Ride
