time,distance,latitude,longitude,altitude,velocity_smooth,heartrate,moving,grade_smooth,activity_id,activity_name
0,0.0,46.169201,6.144153,426.2,0.0,106,False,0.0,14643924607,Evening Ride
1,4.6,46.169167,6.144173,426.2,0.0,107,True,0.0,14643924607,Evening Ride
2,9.1,46.169132,6.144193,426.2,0.0,108,True,-1.1,14643924607,Evening Ride
3,13.7,46.169098,6.144213,426.2,4.55,109,True,-1.4,14643924607,Evening Ride
4,18.2,46.169063,6.144233,426.0,4.55,110,True,-1.7,14643924607,Evening Ride
5,33.2,46.168925,6.144312,425.8,4.55,111,True,-2.0,14643924607,Evening Ride
6,43.4,46.168841,6.144366,425.6,7.77,111,True,-1.4,14643924607,Evening Ride
7,52.7,46.168767,6.14442,425.4,8.72,112,True,-1.8,14643924607,Evening Ride
8,60.5,46.168704,6.144463,425.4,9.37,112,True,-2.6,14643924607,Evening Ride
9,67.2,46.168646,6.144484,425.2,9.8,113,True,-4.1,14643924607,Evening Ride
10,74.4,46.16858,6.144495,424.8,8.24,113,True,-6.2,14643924607,Evening Ride
11,82.3,46.16851,6.144504,424.2,7.78,114,True,-7.7,14643924607,Evening Ride
12,89.5,46.168445,6.144509,423.6,7.36,114,True,-8.5,14643924607,Evening Ride
13,95.9,46.168387,6.144508,423.0,7.08,115,True,-8.0,14643924607,Evening Ride
14,102.6,46.168328,6.144522,422.4,7.08,115,True,-8.1,14643924607,Evening Ride
15,109.7,46.168267,6.144546,422.0,7.06,115,True,-7.4,14643924607,Evening Ride
16,116.7,46.168208,6.144573,421.4,6.88,116,True,-7.2,14643924607,Evening Ride
17,123.1,46.168153,6.144604,421.0,6.72,116,True,-6.9,14643924607,Evening Ride
18,130.4,46.168095,6.144647,420.4,6.9,116,True,-5.9,14643924607,Evening Ride
19,138.6,46.168034,6.144703,420.0,7.2,117,True,-5.0,14643924607,Evening Ride
20,147.0,46.167972,6.144766,419.6,7.46,117,True,-4.2,14643924607,Evening Ride
21,155.4,46.167908,6.144827,419.4,7.74,118,True,-3.6,14643924607,Evening Ride
22,163.5,46.167846,6.144881,419.0,8.08,118,True,-3.7,14643924607,Evening Ride
23,171.6,46.167781,6.14493,418.8,8.24,118,True,-4.5,14643924607,Evening Ride
24,179.5,46.167718,6.144973,418.4,8.18,118,True,-4.7,14643924607,Evening Ride
25,186.6,46.16766,6.14501,418.0,7.92,118,True,-5.5,14643924607,Evening Ride
