time,distance,latitude,longitude,altitude,velocity_smooth,heartrate,moving,grade_smooth,activity_id,activity_name
0,0.0,46.181847,6.141002,384.6,0.0,118,False,0.0,14692592155,Cycling
1,4.4,46.181816,6.140999,384.6,0.0,117,True,9.0,14692592155,Cycling
2,8.9,46.181786,6.140995,384.6,0.0,117,True,13.9,14692592155,Cycling
3,13.3,46.181755,6.140992,385.8,4.433,117,True,19.6,14692592155,Cycling
4,20.2,46.181663,6.140982,387.4,5.05,117,True,24.1,14692592155,Cycling
5,25.9,46.181613,6.140967,388.8,5.18,118,True,20.4,14692592155,Cycling
6,30.4,46.181574,6.140956,389.8,5.193,119,True,14.2,14692592155,Cycling
7,34.9,46.181534,6.140945,390.2,5.207,120,True,5.3,14692592155,Cycling
8,39.9,46.18149,6.140931,390.2,5.32,121,True,-2.1,14692592155,Cycling
9,44.8,46.181446,6.140919,389.8,4.92,122,True,-6.1,14692592155,Cycling
10,49.6,46.181404,6.140907,389.4,4.74,122,True,-7.9,14692592155,Cycling
11,54.5,46.181362,6.140893,389.0,4.82,123,True,-6.5,14692592155,Cycling
12,60.1,46.181312,6.140876,388.6,5.04,124,True,-5.2,14692592155,Cycling
13,66.4,46.181259,6.14085,388.4,5.3,124,True,-4.3,14692592155,Cycling
14,72.6,46.181207,6.140825,388.2,5.56,125,True,-3.4,14692592155,Cycling
15,78.0,46.181162,6.140802,388.0,5.68,126,True,-2.5,14692592155,Cycling
16,83.8,46.181112,6.140773,387.8,5.86,126,True,-1.6,14692592155,Cycling
17,90.6,46.181057,6.140735,387.8,6.1,126,True,0.0,14692592155,Cycling
18,97.1,46.181009,6.140689,387.8,6.14,126,True,0.8,14692592155,Cycling
19,103.5,46.180962,6.140641,388.0,6.18,126,True,0.0,14692592155,Cycling
20,109.9,46.180914,6.140592,388.0,6.38,126,True,-0.8,14692592155,Cycling
21,116.2,46.18087,6.140543,387.8,6.48,127,True,-2.3,14692592155,Cycling
22,122.5,46.180824,6.140494,387.6,6.38,127,True,-3.1,14692592155,Cycling
23,129.1,46.180778,6.140441,387.4,6.4,127,True,-3.0,14692592155,Cycling
24,135.8,46.180733,6.140384,387.2,6.46,127,True,-2.9,14692592155,Cycling
25,142.8,46.180689,6.140321,387.0,6.58,127,True,-2.9,14692592155,Cycling
26,149.8,46.180647,6.140253,386.8,6.72,128,True,-2.9,14692592155,Cycling
